Sanga										
11										
X										
Y										
Ksat										
Ds										
PT										
Mic										
Mac										
Argila										
Silte										
Areia										
CO										
345752.56	6527416.22	0.55	1.39	47.41	23.53	23.88	30.49	31.15	38.36	1.68
345828.18	6527416.22	0.07	1.62	39	24.05	14.95	22.17	20.96	56.87	0.54
345147.64	6527515.37	0.94	1.44	45.67	20.09	25.58	16.35	20.45	63.2	0.68
345223.26	6527515.37	1.75	1.05	60.5	23.48	37.03	23.36	28.67	47.96	1.78
345298.87	6527515.37	1.17	1.03	60.96	22.94	38.01	21.92	35.25	42.83	2.66
345374.49	6527515.37	0.39	1.47	44.67	16.75	27.92	12.29	35.33	52.38	0.22
345450.1	6527515.37	1.01	1.37	48.45	16.77	31.68	19.92	25.19	54.89	0.4
345525.72	6527515.37	0.75	1.16	56.1	20.57	35.53	42.92	21.03	36.05	1.43
345601.33	6527515.37	0.28	1.32	50.36	20.32	30.04	21.5	30.51	47.99	0.81
345676.95	6527515.37	3.19	0.96	63.86	14.26	49.6	19.53	28.29	52.18	0.58
345752.56	6527515.37	0.36	1.43	46.22	22.89	23.33	21.87	30.84	47.3	0.73
345223.26	6527614.53	0.41	1.45	45.4	17.03	28.37	18.29	50.96	30.75	0.96
345298.87	6527614.53	0.94	1.18	55.61	20.75	34.86	26.98	30.94	42.08	1.35
345374.49	6527614.53	1.97	1.26	52.51	18.52	33.99	16.24	24.09	59.67	1.51
345450.1	6527614.53	1.81	1.4	47.15	15.69	31.45	14.4	27.4	58.2	0.98
345525.72	6527614.53	0.57	0.9	65.92	47.54	18.38	22.54	25.61	51.85	1.01
345601.33	6527614.53	2.04	1.28	51.78	15.82	35.96	22.35	27.87	49.78	0.61
345298.87	6527713.68	0.24	1.51	43.05	18.7	24.35	17.97	32.8	49.23	1.25
345374.49	6527713.68	0.15	1.46	45.04	22.47	22.57	18.24	34.21	47.55	0.8
345450.1	6527713.68	0.42	1.34	49.33	17.76	31.57	14.66	27.47	57.86	0.41
345525.72	6527713.68	0.62	1.38	48.11	14.99	33.11	15.07	29.33	55.6	0.49
345601.33	6527713.68	0.26	1.44	45.51	20.44	25.07	17.24	29.21	53.55	0.69
345223.26	6527812.84	0.82	1.42	46.35	21.13	25.22	24.31	27.46	48.23	1.76
345298.87	6527812.84	0.11	1.36	48.82	29.17	19.65	52.71	17.07	30.22	1.73
345374.49	6527812.84	1.1	1.52	42.74	13.13	29.61	11.93	29.48	58.59	0.46
345450.1	6527812.84	0.51	1.27	52.11	23.59	28.51	20.7	34.3	45	1.18
345525.72	6527812.84	2.08	1.39	47.69	14.35	33.33	17.67	25.33	56.99	0.92
345601.33	6527812.84	0.53	1.13	57.33	21.12	36.21	33.5	26.91	39.6	0.98
345147.64	6527911.99	0.98	1.34	49.32	18.04	31.28	4.72	44.92	50.36	1.52
345223.26	6527911.99	0.4	1.38	47.79	26.71	21.07	41.33	19.75	38.93	1.07
345298.87	6527911.99	0.01	1.28	51.84	28.11	23.73	24.11	34.35	41.54	1.32
345374.49	6527911.99	1.45	1.41	46.97	15.41	31.56	12.66	31.04	56.3	0.6
345450.1	6527911.99	0.62	1.43	45.93	18.07	27.86	16.33	31.15	52.52	0.35
345525.72	6527911.99	0.39	1.16	56.41	28.29	28.12	23.15	35.11	41.75	0.82
345601.33	6527911.99	0.28	1.36	48.81	23.81	25.01	34.33	29.36	36.31	1.47
345298.87	6528011.14	0.91	1.37	48.37	20.88	27.49	22.99	27.5	49.51	0.94
345374.49	6528011.14	0.18	1.33	49.73	18.89	30.84	25.87	22.98	51.15	0.82
345450.1	6528011.14	0.03	1.64	37.95	20.32	17.62	17.37	30.6	52.03	0.76
345525.72	6528011.14	0.08	1.32	50.25	29.02	21.23	43.77	20.05	36.18	1.55
345298.87	6527267.49	0.62	1.45	45.11	25.12	20	22.72	16.81	60.47	1.78
345298.87	6527242.7	1.23	1.43	45.91	19.12	26.78	17.9	11.19	70.91	1.33
345298.87	6527193.12	0.22	1.65	37.55	31.1	6.44	9.58	16.74	73.68	1.12
345298.87	6527168.34	0.62	1.52	42.49	19.03	23.46	14.38	15.24	70.39	1.15
345298.87	6527143.55	2	1.38	47.75	18.46	29.28	9.92	12.38	77.7	1.44
345273.67	6527317.07	0.65	1.6	39.73	14.41	25.32	7.84	11.22	80.94	0.56
345273.67	6527267.49	1.29	1.29	51.49	17.85	33.64	22.2	14.41	63.39	1.88
345273.67	6527242.7	1.17	1.19	55.25	22.72	32.53	26.71	14.83	58.46	1.7
345273.67	6527217.91	1.82	1.32	50.03	18.39	31.64	19.25	12.56	68.19	1.35
345273.67	6527193.12	2.14	1.33	49.68	14.42	35.26	13.26	11.64	75.1	1.31
345273.67	6527168.34	2.25	1.42	46.44	17.33	29.11	12.21	16.03	71.76	0.32
345273.67	6527143.55	2.74	1.49	43.83	13.99	29.84	9.15	10.52	80.33	0.94
345273.67	6527118.76	1.24	1.45	45.18	20.48	24.7	18.32	12.97	68.7	2.12
345248.46	6527317.07	0.28	1.4	47.19	14.45	32.74	5.58	11.3	83.11	0.75
345248.46	6527267.49	1.18	1.43	46.18	18.78	27.41	12.19	14.27	73.55	0.96
345248.46	6527242.7	2.12	1.41	46.81	14.26	32.55	13.69	10.74	75.56	1.54
345248.46	6527217.91	2.21	1.36	48.82	19.11	29.71	19.24	13.29	67.47	1.7
345248.46	6527193.12	2.38	1.56	40.95	15	25.95	11.83	11.21	76.97	2.22
345248.46	6527168.34	2.33	1.53	42.31	15.85	26.46	12.57	14.01	73.42	1.28
345248.46	6527143.55	1.96	1.4	47.22	15.89	31.33	12.54	11.52	75.94	0.73
345223.26	6527292.28	3.4	1.29	51.22	14.76	36.46	8.17	12.98	78.85	1.3
345223.26	6527267.49	0.87	1.45	45.47	18.52	26.95	10.85	12.43	76.72	1.31
345223.26	6527242.7	2.53	1.39	47.45	14.8	32.65	9.8	8.76	81.44	1.31
345223.26	6527193.12	2.06	1.15	56.42	24.74	31.68	18.96	14.31	66.73	1.32
345223.26	6527168.34	0.85	1.35	49.04	20.38	28.66	17.2	13.1	69.71	1.33
345223.26	6527143.55	1.12	1.51	42.86	19.77	23.09	14.15	10.54	75.31	1.33
345324.08	6527317.07	1.4	1.41	46.82	21.49	25.33	17.65	14.64	67.7	1.34
345324.08	6527292.28	0.66	1.49	43.72	21.03	22.69	26.04	14.37	59.59	1.34
345324.08	6527267.49	0.61	1.45	45.13	23.9	21.23	19.92	15.3	64.79	1.35
345324.08	6527242.7	0.45	1.56	41.12	17.33	23.79	14.21	14.44	71.35	1.35
345324.08	6527217.91	1.46	1.27	51.99	20.44	31.55	32.58	13.73	53.69	1.36
345324.08	6527193.12	1.05	1.4	47.07	18.77	28.3	16.8	18.27	64.94	1.37
345324.08	6527168.34	1.37	1.47	44.38	21.65	22.73	23.67	15.71	60.62	1.37
345324.08	6527143.55	0.01	1.63	38.67	27.72	10.95	27.35	15.58	57.07	1.38
345324.08	6527118.76	1.81	1.24	53.17	16.64	36.54	17.82	15.5	66.68	1.38
345349.28	6527317.07	3.76	1.22	54.08	22.99	31.08	23.35	15.36	61.29	1.39
345349.28	6527292.28	0.32	1.33	49.81	26.84	22.96	21.11	10.96	67.92	1.39
345349.28	6527267.49	0.06	1.61	39.27	30.12	9.15	24.74	21.77	53.49	1.4
345349.28	6527242.7	0.59	1.55	41.57	22.8	18.77	20.61	15.51	63.88	1.41
345349.28	6527217.91	0.22	1.57	40.88	20.9	19.98	13.02	13.86	73.12	1.41
345349.28	6527193.12	0.15	1.62	38.71	22.98	15.72	20.62	13.54	65.84	1.42
345349.28	6527168.34	0.07	1.65	37.77	26.29	11.48	23.43	18.09	58.48	1.42
345349.28	6527143.55	0.08	1.37	48.18	23.12	25.06	30.82	12.51	56.67	1.43
345349.28	6527118.76	0.14	1.23	53.61	24.38	29.24	20.48	18.47	61.05	1.43
345374.49	6527292.28	0.18	1.61	39.06	19.57	19.49	16.69	13.62	69.69	1.44
345374.49	6527267.49	0.17	1.65	37.59	21.78	15.81	18.17	15.99	65.84	1.45
345374.49	6527242.7	0.15	1.57	40.62	23.25	17.37	22.07	12.05	65.88	1.45
345374.49	6527193.12	0.33	1.48	44.09	25.98	18.11	20.55	16.34	63.11	1.46
345374.49	6527168.34	0.11	1.14	57.03	26.56	30.47	18.93	20.36	60.71	1.46
345374.49	6527143.55	0.67	1.31	50.42	26.29	24.12	33.54	15.88	50.58	1.47
345399.69	6527317.07	0.63	1.53	42.4	15.75	26.65	10.44	14.45	75.11	1.47
345399.69	6527292.28	0.61	1.48	44.13	17.67	26.46	15.96	13.05	70.99	1.48
345399.69	6527267.49	0.05	1.68	36.72	23.8	12.92	29.35	17.37	53.28	1.49
345399.69	6527242.7	0.17	1.76	33.76	25.06	8.7	12.12	13.83	74.04	1.49
345399.69	6527217.91	0.21	1.51	42.95	25.63	17.33	18.35	16.21	65.44	1.5
345399.69	6527193.12	0.04	1.71	35.31	22.57	12.74	13.71	16.39	69.9	1.5
345399.69	6527168.34	0.1	1.58	40.48	22.91	17.57	14.17	15.27	70.56	1.51
345399.69	6527143.55	0.05	1.64	38.05	28.05	10	18.94	16.7	64.35	1.52
345399.69	6527118.76	0.04	1.56	41.21	22.41	18.8	24.03	13.94	62.03	1.52
345424.9	6527317.07	0.6	1.46	44.79	14.89	29.9	14.35	14.13	71.52	1.53
345424.9	6527292.28	1.23	1.55	41.34	15.76	25.59	15.94	15.11	68.96	1.53
345424.9	6527267.49	2.42	1.51	42.85	14.11	28.75	11.05	14.38	74.57	1.54
345424.9	6527242.7	0.61	1.52	42.56	24.32	18.24	19.81	18.96	61.22	1.54
345424.9	6527217.91	1.35	1.37	48.47	22.05	26.41	14.48	15.39	70.14	1.55
345424.9	6527193.12	0.47	1.36	48.53	20.22	28.31	17.92	19.7	62.38	1.56
345424.9	6527168.34	0.27	1.6	39.46	23.25	16.21	10.91	14.9	74.19	1.56
345424.9	6527143.55	0.41	1.41	46.78	21.28	25.5	18.32	16.41	65.27	1.57
345424.9	6527118.76	0.16	1.43	46.15	20.93	25.22	21.29	14.19	64.52	1.57
345450.1	6527267.49	0.18	1.36	48.62	19.02	29.6	17.53	13.34	69.13	1.58
345450.1	6527242.7	0.75	1.25	53.01	15.95	37.05	8.09	14.8	77.11	1.59
345450.1	6527193.12	0.03	1.54	41.85	25.79	16.06	23.1	15.75	61.15	1.6
345450.1	6527168.34	1.24	1.34	49.29	16.6	32.69	7.77	18.24	73.99	1.6
345450.1	6527143.55	0.27	1.26	52.47	17.35	35.11	10.37	16.47	73.15	1.61
