"Argila, g/kg","Silte, g/kg","Areia total, g/kg","Carbono total, g/dm3","Dens. solo, Mg m-3",Poros Total Calculada,theta,umidade
79.50000000000013,16.049999999999898,4.449999999999974,15.54,1.3392999999999997,0.5285664000000001,6,0.4585999999999998
79.50000000000013,16.049999999999898,4.449999999999974,15.54,1.3392999999999997,0.5285664000000001,10,0.4568000000000004
79.50000000000013,16.049999999999898,4.449999999999974,15.54,1.3392999999999997,0.5285664000000001,33,0.43659999999999993
79.50000000000013,16.049999999999898,4.449999999999974,15.54,1.3392999999999997,0.5285664000000001,100,0.42520000000000013
79.50000000000013,16.049999999999898,4.449999999999974,15.54,1.3392999999999997,0.5285664000000001,1500,0.37680000000000036
80.24999999999838,15.250000000001762,4.499999999999858,11.06,1.3961000000000001,0.5108065599999998,6,0.4981
80.24999999999838,15.250000000001762,4.499999999999858,11.06,1.3961000000000001,0.5108065599999998,10,0.4881999999999999
80.24999999999838,15.250000000001762,4.499999999999858,11.06,1.3961000000000001,0.5108065599999998,33,0.4615999999999997
80.24999999999838,15.250000000001762,4.499999999999858,11.06,1.3961000000000001,0.5108065599999998,100,0.44509999999999994
80.24999999999838,15.250000000001762,4.499999999999858,11.06,1.3961000000000001,0.5108065599999998,1500,0.39120000000000005
81.65000000000045,13.999999999999346,4.3500000000002075,9.5,1.3313,0.5340450000000001,6,0.48599999999999993
81.65000000000045,13.999999999999346,4.3500000000002075,9.5,1.3313,0.5340450000000001,10,0.48200000000000015
81.65000000000045,13.999999999999346,4.3500000000002075,9.5,1.3313,0.5340450000000001,33,0.4472999999999999
81.65000000000045,13.999999999999346,4.3500000000002075,9.5,1.3313,0.5340450000000001,100,0.4328999999999999
81.65000000000045,13.999999999999346,4.3500000000002075,9.5,1.3313,0.5340450000000001,1500,0.3708000000000001
82.95000000000097,11.799999999999145,5.249999999999886,9.93,1.2976999999999999,0.5458050000000001,6,0.49809999999999977
82.95000000000097,11.799999999999145,5.249999999999886,9.93,1.2976999999999999,0.5458050000000001,10,0.4961999999999998
82.95000000000097,11.799999999999145,5.249999999999886,9.93,1.2976999999999999,0.5458050000000001,33,0.4516999999999999
82.95000000000097,11.799999999999145,5.249999999999886,9.93,1.2976999999999999,0.5458050000000001,100,0.42880000000000024
82.95000000000097,11.799999999999145,5.249999999999886,9.93,1.2976999999999999,0.5458050000000001,1500,0.37919999999999987
78.7500000000001,15.349999999999753,5.900000000000148,16.09,1.3610999999999998,0.51844282,6,0.48540000000000016
78.7500000000001,15.349999999999753,5.900000000000148,16.09,1.3610999999999998,0.51844282,10,0.4761000000000001
78.7500000000001,15.349999999999753,5.900000000000148,16.09,1.3610999999999998,0.51844282,33,0.4509000000000003
78.7500000000001,15.349999999999753,5.900000000000148,16.09,1.3610999999999998,0.51844282,100,0.43819999999999987
78.7500000000001,15.349999999999753,5.900000000000148,16.09,1.3610999999999998,0.51844282,1500,0.39230000000000015
79.95000000000086,15.900000000000247,4.149999999998897,13.2,1.4289,0.49817031999999994,6,0.4908999999999997
79.95000000000086,15.900000000000247,4.149999999998897,13.2,1.4289,0.49817031999999994,10,0.4820999999999998
79.95000000000086,15.900000000000247,4.149999999998897,13.2,1.4289,0.49817031999999994,33,0.46990000000000004
79.95000000000086,15.900000000000247,4.149999999998897,13.2,1.4289,0.49817031999999994,100,0.4544999999999998
79.95000000000086,15.900000000000247,4.149999999998897,13.2,1.4289,0.49817031999999994,1500,0.4108999999999997
79.74999999999955,13.550000000000395,6.70000000000006,12.38,1.3856000000000004,0.5142086399999999,6,0.48669999999999985
79.74999999999955,13.550000000000395,6.70000000000006,12.38,1.3856000000000004,0.5142086399999999,10,0.4810999999999999
79.74999999999955,13.550000000000395,6.70000000000006,12.38,1.3856000000000004,0.5142086399999999,33,0.4710999999999999
79.74999999999955,13.550000000000395,6.70000000000006,12.38,1.3856000000000004,0.5142086399999999,100,0.4541999999999999
79.74999999999955,13.550000000000395,6.70000000000006,12.38,1.3856000000000004,0.5142086399999999,1500,0.4073999999999999
81.49999999999902,14.950000000002461,3.5499999999985192,12.07,1.3730000000000002,0.5186261999999999,6,0.4986
81.49999999999902,14.950000000002461,3.5499999999985192,12.07,1.3730000000000002,0.5186261999999999,10,0.4895000000000003
81.49999999999902,14.950000000002461,3.5499999999985192,12.07,1.3730000000000002,0.5186261999999999,33,0.47020000000000023
81.49999999999902,14.950000000002461,3.5499999999985192,12.07,1.3730000000000002,0.5186261999999999,100,0.45200000000000035
81.49999999999902,14.950000000002461,3.5499999999985192,12.07,1.3730000000000002,0.5186261999999999,1500,0.40109999999999996
80.15000000000039,15.049999999998676,4.800000000000935,15.23,1.247,0.5603077999999999,6,0.4583000000000001
80.15000000000039,15.049999999998676,4.800000000000935,15.23,1.247,0.5603077999999999,10,0.4504999999999998
80.15000000000039,15.049999999998676,4.800000000000935,15.23,1.247,0.5603077999999999,33,0.40359999999999985
80.15000000000039,15.049999999998676,4.800000000000935,15.23,1.247,0.5603077999999999,100,0.38439999999999963
80.15000000000039,15.049999999998676,4.800000000000935,15.23,1.247,0.5603077999999999,1500,0.3324999999999997
79.10000000000106,16.14999999999789,4.750000000001052,13.24,1.3845999999999998,0.5117900400000002,6,0.4938000000000001
79.10000000000106,16.14999999999789,4.750000000001052,13.24,1.3845999999999998,0.5117900400000002,10,0.47609999999999975
79.10000000000106,16.14999999999789,4.750000000001052,13.24,1.3845999999999998,0.5117900400000002,33,0.4601000000000001
79.10000000000106,16.14999999999789,4.750000000001052,13.24,1.3845999999999998,0.5117900400000002,100,0.4427999999999999
