Argila (%),Areia (%),Silte (%),Densidade do solo (g cm-3),Porosidade total (cm 3cm-3),Microporosidade (cm3cm-3),Macroporosidade (cm3cm-3),theta,umidade
65.00133832689808,11.323816181406587,23.674845491695336,1.4055780933062878,0.49257108544899353,0.48671399594320497,0.00585708950578856,0,0.49257108544899353
65.00133832689808,11.323816181406587,23.674845491695336,1.4055780933062878,0.49257108544899353,0.48671399594320497,0.00585708950578856,6,0.48671399594320497
65.00133832689808,11.323816181406587,23.674845491695336,1.4055780933062878,0.49257108544899353,0.48671399594320497,0.00585708950578856,10,0.46308316430020313
65.00133832689808,11.323816181406587,23.674845491695336,1.4055780933062878,0.49257108544899353,0.48671399594320497,0.00585708950578856,33,0.38651115618661275
65.00133832689808,11.323816181406587,23.674845491695336,1.4055780933062878,0.49257108544899353,0.48671399594320497,0.00585708950578856,100,0.3749492900608522
65.00133832689808,11.323816181406587,23.674845491695336,1.4055780933062878,0.49257108544899353,0.48671399594320497,0.00585708950578856,1500,0.2515984787018255
65.00133832689808,11.323816181406587,23.674845491695336,1.4415821501014199,0.4795732310103178,0.3819472616632863,0.0976259693470315,0,0.4795732310103178
65.00133832689808,11.323816181406587,23.674845491695336,1.4415821501014199,0.4795732310103178,0.3819472616632863,0.0976259693470315,6,0.3819472616632863
65.00133832689808,11.323816181406587,23.674845491695336,1.4415821501014199,0.4795732310103178,0.3819472616632863,0.0976259693470315,10,0.3558823529411768
65.00133832689808,11.323816181406587,23.674845491695336,1.4415821501014199,0.4795732310103178,0.3819472616632863,0.0976259693470315,33,0.3075050709939148
65.00133832689808,11.323816181406587,23.674845491695336,1.4415821501014199,0.4795732310103178,0.3819472616632863,0.0976259693470315,100,0.29878296146044664
65.00133832689808,11.323816181406587,23.674845491695336,1.4415821501014199,0.4795732310103178,0.3819472616632863,0.0976259693470315,1500,0.25804320486815413
65.00133832689808,11.323816181406587,23.674845491695336,1.410446247464503,0.4908136290741867,0.4822515212981746,0.008562107776012073,0,0.4908136290741867
65.00133832689808,11.323816181406587,23.674845491695336,1.410446247464503,0.4908136290741867,0.4822515212981746,0.008562107776012073,6,0.4822515212981746
65.00133832689808,11.323816181406587,23.674845491695336,1.410446247464503,0.4908136290741867,0.4822515212981746,0.008562107776012073,10,0.4599391480730223
65.00133832689808,11.323816181406587,23.674845491695336,1.410446247464503,0.4908136290741867,0.4822515212981746,0.008562107776012073,33,0.3914807302231237
65.00133832689808,11.323816181406587,23.674845491695336,1.410446247464503,0.4908136290741867,0.4822515212981746,0.008562107776012073,100,0.3809330628803246
65.00133832689808,11.323816181406587,23.674845491695336,1.410446247464503,0.4908136290741867,0.4822515212981746,0.008562107776012073,1500,0.25246987829614603
65.00133832689808,11.3238161814066,23.674845491695336,1.3950304259634891,0.4963789075944083,0.4314401622718052,0.06493874532260308,0,0.4963789075944083
65.00133832689808,11.3238161814066,23.674845491695336,1.3950304259634891,0.4963789075944083,0.4314401622718052,0.06493874532260308,6,0.4314401622718052
65.00133832689808,11.3238161814066,23.674845491695336,1.3950304259634891,0.4963789075944083,0.4314401622718052,0.06493874532260308,10,0.42484787018255565
65.00133832689808,11.3238161814066,23.674845491695336,1.3950304259634891,0.4963789075944083,0.4314401622718052,0.06493874532260308,33,0.3867139959432048
65.00133832689808,11.3238161814066,23.674845491695336,1.3950304259634891,0.4963789075944083,0.4314401622718052,0.06493874532260308,100,0.37860040567951303
65.00133832689808,11.3238161814066,23.674845491695336,1.3950304259634891,0.4963789075944083,0.4314401622718052,0.06493874532260308,1500,0.24971044624746455
65.00133832689808,11.323816181406587,23.674845491695336,1.2599391480730224,0.5451483219952988,0.4807302231237322,0.06441809887156663,0,0.5451483219952988
65.00133832689808,11.323816181406587,23.674845491695336,1.2599391480730224,0.5451483219952988,0.4807302231237322,0.06441809887156663,6,0.4807302231237322
65.00133832689808,11.323816181406587,23.674845491695336,1.2599391480730224,0.5451483219952988,0.4807302231237322,0.06441809887156663,10,0.4043610547667345
65.00133832689808,11.323816181406587,23.674845491695336,1.2599391480730224,0.5451483219952988,0.4807302231237322,0.06441809887156663,33,0.3604462474645028
65.00133832689808,11.323816181406587,23.674845491695336,1.2599391480730224,0.5451483219952988,0.4807302231237322,0.06441809887156663,100,0.35263691683569975
65.00133832689808,11.323816181406587,23.674845491695336,1.2599391480730224,0.5451483219952988,0.4807302231237322,0.06441809887156663,1500,0.22552910750507102
65.00133832689808,11.323816181406587,23.674845491695336,1.3619675456389453,0.508314965473305,0.41085192697768785,0.09746303849561716,0,0.508314965473305
65.00133832689808,11.323816181406587,23.674845491695336,1.3619675456389453,0.508314965473305,0.41085192697768785,0.09746303849561716,6,0.41085192697768785
65.00133832689808,11.323816181406587,23.674845491695336,1.3619675456389453,0.508314965473305,0.41085192697768785,0.09746303849561716,10,0.4077079107505073
65.00133832689808,11.323816181406587,23.674845491695336,1.3619675456389453,0.508314965473305,0.41085192697768785,0.09746303849561716,33,0.3793103448275863
65.00133832689808,11.323816181406587,23.674845491695336,1.3619675456389453,0.508314965473305,0.41085192697768785,0.09746303849561716,100,0.3749492900608519
65.00133832689808,11.323816181406587,23.674845491695336,1.3619675456389453,0.508314965473305,0.41085192697768785,0.09746303849561716,1500,0.2437921906693712
65.00133832689808,11.323816181406587,23.674845491695336,1.4282961460446248,0.48436962236656145,0.4738336713995943,0.010535950966967134,0,0.48436962236656145
65.00133832689808,11.323816181406587,23.674845491695336,1.4282961460446248,0.48436962236656145,0.4738336713995943,0.010535950966967134,6,0.4738336713995943
